Role,DyadID,Site,Current_Color,Current pain,Condition,Trials,Counterbalance,Temperature,Condition_new,Experimenter,Block,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
2,9,4,1,46,Thermedol,8,2,0,1,1,2,-0.023212297,-0.021328018,-0.019587622,-0.019793801,-0.020416731,-0.02181742,-0.017304093,-0.006745528,-0.001260142,0.000616071,0.000500004,-0.001033194,-0.004877771,-0.009667695,-0.014580666,-0.019163556
2,11,1,1,46,Thermedol,1,1,0,1,1,1,0.185637859,0.724865657,0.887149977,0.746424424,0.522457989,0.575963783,1.038941203,1.107741204,0.901855209,0.664290159,0.499285735,0.403691553,0.33626742,0.267146915,0.206983119,0.156889701
2,11,4,1,46,Thermedol,2,1,0,1,1,1,-0.110121218,-0.077341903,-0.029718683,0.112631665,0.21034467,0.193737925,0.13227292,0.076689441,0.045095233,0.023909379,0.018348171,0.033671088,0.028009208,0.007083398,-0.012995428,-0.024067563
2,11,2,1,46,Thermedol,3,1,0,1,1,1,-0.032283274,0.072516658,0.099050725,0.101602658,0.104344164,0.115078805,0.109017848,0.089046861,0.066726788,0.045737906,0.027122776,0.013162304,-0.002593148,-0.015514095,-0.019499832,-0.025906129
2,11,3,1,46,Thermedol,4,1,0,1,1,1,-0.070076411,-0.078266129,-0.094861788,-0.110538811,-0.120384685,-0.10167675,-0.034318922,-0.017867578,-0.034542804,-0.057799729,-0.084516113,-0.11035036,-0.133900526,-0.143607494,-0.105894293,-0.08950699
2,11,1,1,46,Thermedol,5,1,0,1,1,1,0.063353038,0.092685155,0.042647253,0.001074565,-0.028961222,-0.065454769,-0.068731226,-0.046133411,0.003463567,0.170309706,0.229972648,0.18972478,0.121774672,0.057179654,0.004233274,-0.037306793
2,11,2,1,46,Thermedol,6,1,0,1,1,1,-0.033527492,-0.017510631,0.063813938,0.138446707,0.125169033,0.07159049,0.039478138,0.039999507,0.025441889,-0.00108236,-0.023699831,-0.040989004,-0.055515626,-0.064353346,-0.07480126,-0.08869808
2,11,3,1,46,Thermedol,7,1,0,1,1,1,0.470618336,0.611401716,0.545234344,0.40112921,0.296122241,0.224678067,0.186027825,0.211887072,0.209366542,0.152361461,0.086336939,0.029981895,-0.020628255,-0.063324792,-0.096381647,-0.127827005
2,11,4,1,46,Thermedol,8,1,0,1,1,1,-0.181666419,-0.206557396,-0.257991104,-0.300236686,-0.336091685,-0.379732754,-0.42348725,-0.43864268,-0.442187388,-0.479088413,-0.527832123,-0.571023958,-0.59683119,-0.636833441,-0.690671402,-0.747220012
2,11,1,0,46,Vaseline,1,1,0,0,1,2,-0.16891014,0.098246495,0.486994695,0.953125888,0.915357305,0.727845515,0.636440366,1.052354279,1.299990977,0.990595771,0.663777467,0.462830102,0.331330866,0.23320598,0.147409113,0.215395541
2,11,4,0,46,Vaseline,2,1,0,0,1,2,0.129518062,0.120112923,0.069453055,0.010118215,-0.037265246,-0.069551661,-0.087957673,-0.117908088,-0.151728184,-0.178958147,-0.197524037,-0.211447841,-0.235382644,-0.251432593,-0.272911731,-0.293021143
2,11,2,0,46,Vaseline,3,1,0,0,1,2,-0.136828381,-0.209579812,-0.261292627,-0.224169635,-0.086413385,0.78765056,1.278093479,1.135668186,0.850377019,0.594453828,0.388436004,0.233473314,0.12308774,0.036972564,-0.034591488,-0.093680303
2,11,3,0,46,Vaseline,4,1,0,0,1,2,-0.131263538,0.280238156,0.249903593,0.174692861,0.211183765,0.402660204,0.52680286,0.332217786,0.124174286,-0.003078288,-0.083170039,-0.129736256,-0.176785958,-0.191964369,-0.152909623,-0.176177662
2,11,1,0,46,Vaseline,5,1,0,0,1,2,0.408949205,0.291063609,0.126365689,0.105043333,0.131975071,0.052965832,0.097903916,0.288616895,0.241365654,0.125444637,0.046681451,-0.019207161,-0.068193064,-0.097431528,-0.118810381,-0.147323959
2,11,2,0,46,Vaseline,6,1,0,0,1,2,0.602995491,0.394789828,0.269504577,0.171648255,0.083915236,0.012198247,-0.025018556,-0.021757994,-0.019562232,0.014984997,-0.004060129,-0.020511168,-0.054970631,-0.057960414,0.010348432,0.005778218
2,11,3,0,46,Vaseline,7,1,0,0,1,2,-0.091377037,-0.116755323,-0.133751425,-0.144068044,-0.156808337,-0.172068682,-0.184765519,-0.197692924,-0.208596062,-0.210320416,-0.215813282,-0.212468979,-0.209367107,-0.217171773,-0.219885057,-0.233300736
2,11,4,0,46,Vaseline,8,1,0,0,1,2,-0.012418762,0.219247063,0.317472914,0.202662758,0.079264873,-0.001566868,-0.069894611,-0.125899537,-0.174526648,-0.220756474,-0.26372649,-0.298560652,-0.205816808,-0.09165268,-0.114566862,-0.053961673
2,12,1,1,46,Vaseline,1,2,0,0,1,1,0.372736925,0.289953375,0.117347075,-0.045996777,-0.045970831,0.398725834,0.522988286,0.37982826,0.222437476,0.137870306,0.19179686,0.204067092,0.11357462,0.086802079,0.12690834,0.213307176
2,12,3,1,46,Vaseline,2,2,0,0,1,1,0.328340729,0.298223237,0.248016528,0.174336601,0.089472029,0.071321486,0.206416272,0.230581742,0.182022182,0.200985117,0.172576758,0.090149979,0.015568608,-0.046457553,-0.111571052,-0.082746563
2,12,2,1,46,Vaseline,3,2,0,0,1,1,-0.086113109,-0.061610226,0.038864428,0.285409973,0.365529135,0.306076966,0.20063891,0.094073995,-0.006781466,-0.080150917,-0.103048178,-0.118855324,-0.105411955,0.209455221,0.431743862,0.388344212
2,12,4,1,46,Vaseline,5,2,0,0,1,1,0.144449672,0.136939937,0.090286123,0.060098116,0.05229399,0.019910071,-0.025944418,-0.044332184,-0.079782891,-0.129986381,-0.17848611,-0.220759234,-0.255894816,-0.264107468,-0.265872889,-0.281806286
2,12,3,1,46,Vaseline,4,2,0,0,1,1,0.224890581,0.141019108,0.059468605,-0.01022489,-0.076465137,-0.034232036,0.057670294,0.046667088,-0.008483939,-0.06332282,-0.017769048,0.209994859,0.300718167,0.237502609,0.139248938,0.046972406
2,12,1,1,46,Vaseline,6,2,0,0,1,1,0.4906311,0.513246771,0.399334582,0.259857316,0.143415257,0.218665302,0.447265736,0.467531092,0.361328511,0.232810334,0.125741727,0.052032476,0.00594765,-0.050504149,-0.11372448,-0.172401113
2,12,2,1,46,Vaseline,7,2,0,0,1,1,-0.320782476,-0.232350872,-0.075290355,-0.014746714,0.011779807,0.036442124,0.030962396,0.047412171,0.124338735,0.144634515,0.11731951,0.077194275,0.038405986,0.000944667,-0.031757499,-0.059316668
2,12,4,1,46,Vaseline,8,2,0,0,1,1,0.204724309,0.143911908,0.081591898,0.022805188,-0.011238978,-0.004599943,0.050155474,0.090602004,0.079913519,0.075268609,0.139745982,0.186201479,0.181382471,0.17955336,0.16037696,0.124210512
2,12,1,0,46,Thermedol,1,2,0,1,1,2,0.05750452,0.471701605,0.644376777,0.676800739,0.712199733,0.816224192,0.991781514,1.226384408,1.233628456,1.108342424,0.947056696,0.784242492,0.625747712,0.469080297,0.320379732,0.187150672
2,12,3,0,46,Thermedol,2,2,0,1,1,2,-0.220094731,-0.233863514,-0.235447877,-0.234270888,-0.233477813,-0.224350319,-0.212189136,-0.204760116,-0.202037692,-0.198628287,-0.196581418,-0.193410725,-0.190320575,-0.183896527,-0.172101529,-0.158317019
2,12,2,0,46,Thermedol,3,2,0,1,1,2,-0.105381102,-0.090029865,-0.076677666,-0.071839201,-0.073387603,-0.077486811,-0.078952967,-0.076413559,-0.041889936,0.00675067,0.026805305,0.030005373,0.023679891,0.017067151,0.015375019,0.007789769
2,12,4,0,46,Thermedol,5,2,0,1,1,2,-0.01336311,-0.014868775,-0.009599746,-0.006882504,-0.003681186,-0.009415659,-0.009244823,0.008351216,0.019681801,0.020325629,0.015608765,0.014089221,0.019193425,0.016842079,0.009256956,0.005311355
2,12,3,0,46,Thermedol,4,2,0,1,1,2,0.0132384,0.021454881,0.022463567,0.019454322,0.036729344,0.069166188,0.083096157,0.079580158,0.071644581,0.065558463,0.057419442,0.052210563,0.054353526,0.054182829,0.048126505,0.041707058
2,12,1,0,46,Thermedol,6,2,0,1,1,2,-0.011186523,0.010119478,0.018718958,0.020367936,0.020935781,0.02599557,0.031624922,0.031657984,0.029373862,0.02583845,0.023964084,0.023716405,0.021185648,0.019675762,0.018454608,0.017285706
2,12,2,0,46,Thermedol,7,2,0,1,1,2,0.005161211,0.007445029,0.004256508,0.004459878,0.006589759,0.010932002,0.016517188,0.021323175,0.022950335,0.022766136,0.022883144,0.022397557,0.02105164,0.022831654,0.022360776,0.022498897
2,12,4,0,46,Thermedol,8,2,0,1,1,2,-0.01729773,-0.011371673,-0.007257511,-0.005287678,-0.004133892,-0.002710635,0.002185302,0.005022151,0.00536211,0.007781862,0.007920555,0.009636227,0.007690219,0.004954615,0.003492889,0.000185241
2,13,1,0,46,Thermedol,1,1,0,1,1,1,0.671564292,0.826773351,0.604535034,0.344584311,0.28032779,0.540441031,0.465048837,0.235186487,0.022558002,-0.120656083,-0.188456955,-0.173693383,-0.203130307,-0.263035178,-0.317157119,-0.356190261
